Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
33,2018-05-11,LAA,MIN,L 4-5,9.0,9,5,5,3,11,3,0,156,98,2,2,37,33,1,0,1,0,0,1,1,0,0,0,0,0,5.00,-0.437,-0.439,1.363,4,43521,203
34,2018-05-11,ARI,WSN,L 1-3,9.0,7,3,3,1,4,2,0,105,74,0,0,35,33,3,0,0,1,0,0,1,0,0,0,0,0,3.00,0.116,2.123,.904,2,22901,144
35,2018-05-11,ATL,MIA,L 3-6,8.0,14,6,6,3,4,2,0,117,78,0,0,37,34,2,0,0,0,0,0,2,1,0,0,0,0,6.75,-0.421,-2.161,.728,3,9149,162
36,2018-05-11,BAL,TBR,W 9-4,9.0,15,4,4,1,7,0,0,135,104,3,1,41,40,2,1,0,0,0,0,2,0,0,0,0,1,4.00,0.341,0.662,1.025,3,28170,156
37,2018-05-11,BOS,TOR,L 3-5,11.0,8,5,5,3,19,2,0,168,114,0,0,44,41,3,0,0,0,0,0,0,1,0,0,0,0,4.09,0.270,1.104,1.620,4,28695,234
38,2018-05-11,CHC,CHW,W 11-2,9.0,5,2,2,7,8,0,0,160,96,2,0,36,29,1,0,0,0,0,0,1,0,0,0,0,1,2.00,0.145,2.743,.557,5,39585,225
39,2018-05-11,CHW,CHC,L 2-11,8.0,15,11,7,7,11,3,4,205,124,5,3,48,39,4,0,1,1,0,1,0,0,0,0,0,0,7.88,-0.354,-6.785,.324,6,39585,225
40,2018-05-11,CIN,LAD,W 6-2,9.0,5,2,2,1,9,1,0,143,97,3,0,34,32,1,2,0,1,0,0,0,0,0,0,0,0,2.00,0.304,2.509,.740,5,46979,208
41,2018-05-11,CLE,KCR,L 9-10,9.0,15,10,7,4,8,1,3,174,113,3,1,47,43,6,0,0,0,0,0,1,0,0,0,0,1,7.00,-0.540,-4.957,1.261,5,24408,214
42,2018-05-11,COL,MIL,L 10-11,10.0,17,11,11,6,7,2,0,183,109,1,1,50,43,4,0,0,0,0,1,2,2,0,0,0,0,9.90,-0.637,-5.055,1.390,6,36139,260
43,2018-05-11,MIA,ATL,W 6-3,9.0,5,3,2,3,8,1,1,160,101,0,0,37,33,1,0,0,1,0,0,0,1,0,0,0,0,2.00,0.078,1.319,1.016,5,9149,162
44,2018-05-11,HOU,TEX,L 0-1,9.0,5,1,1,2,11,0,0,143,101,5,1,33,30,2,0,0,0,0,1,0,0,1,0,0,1,1.00,0.287,3.317,1.138,5,34297,188
45,2018-05-11,KCR,CLE,W 10-9,9.0,8,9,9,7,6,3,0,191,113,0,0,41,34,1,0,0,0,0,0,1,0,0,0,0,0,9.00,-0.039,-3.957,1.223,5,24408,214
46,2018-05-11,LAD,CIN,L 2-6,9.0,10,6,6,5,7,1,0,174,104,1,0,43,36,3,0,0,1,0,1,0,1,0,0,0,1,6.00,-0.196,-1.490,.635,4,46979,208
47,2018-05-11,MIL,COL,W 11-10,10.0,16,10,10,4,8,2,0,224,137,2,2,49,44,2,2,0,0,0,1,1,1,0,0,0,0,9.00,-0.137,-4.053,.985,7,36139,260
48,2018-05-11,MIN,LAA,W 5-4,9.0,10,4,4,2,8,1,0,159,102,4,0,38,36,1,0,0,0,0,0,1,1,0,0,0,0,4.00,0.063,0.562,1.084,6,43521,203
49,2018-05-11,NYM,PHI,W 3-1,9.0,7,1,1,4,8,1,0,153,96,0,0,37,32,0,0,0,1,0,0,2,1,0,0,0,1,1.00,0.335,3.462,1.010,5,29247,169
50,2018-05-11,NYY,OAK,L 5-10,9.0,14,10,10,5,5,4,0,170,107,0,0,48,41,3,0,0,1,1,0,0,0,0,0,0,0,10.00,-0.441,-5.057,.662,3,43093,182
51,2018-05-11,OAK,NYY,W 10-5,9.0,7,5,2,4,6,2,3,131,81,6,1,38,33,0,0,0,0,1,0,1,0,0,0,0,0,2.00,0.059,-0.056,1.451,5,43093,182
52,2018-05-11,PHI,NYM,L 1-3,9.0,9,3,3,2,5,2,0,126,82,0,0,36,34,1,0,0,0,0,0,1,0,0,1,0,0,3.00,-0.167,1.460,1.240,3,29247,169
53,2018-05-11,PIT,SFG,W 11-2,9.0,9,2,2,4,14,0,0,168,103,0,0,41,36,2,0,0,1,0,0,1,1,0,0,0,0,2.00,0.111,2.600,1.074,7,34720,200
54,2018-05-11,SDP,STL,L 5-9,9.0,13,9,9,5,3,5,0,162,92,0,0,44,37,0,0,0,0,2,0,0,0,1,1,0,0,9.00,-0.350,-4.632,.308,3,28207,195
55,2018-05-11,SFG,PIT,L 2-11,8.0,15,11,11,3,9,4,0,172,106,0,0,40,36,3,1,0,0,1,0,0,0,1,0,0,0,12.38,-0.388,-6.910,.443,6,34720,200
56,2018-05-11,STL,SDP,W 9-5,9.0,11,5,5,3,8,1,0,174,111,0,0,41,38,4,1,0,0,0,0,0,0,0,0,1,0,5.00,0.150,-0.633,.383,5,28207,195
57,2018-05-11,TBR,BAL,L 4-9,8.0,10,9,9,1,6,4,0,117,73,3,3,35,33,1,0,0,1,0,0,1,0,0,0,0,0,10.12,-0.159,-4.857,.561,3,28170,156
58,2018-05-11,TEX,HOU,W 1-0,9.0,1,0,0,5,8,0,0,147,88,1,0,34,27,0,0,0,2,0,0,2,1,0,0,0,0,0.00,0.786,4.319,1.708,4,34297,188
59,2018-05-11,TOR,BOS,W 5-3,12.0,6,3,2,4,12,1,1,187,120,0,0,47,42,1,0,0,1,0,0,1,2,0,0,0,0,1.50,0.769,3.659,1.601,6,28695,234
60,2018-05-11,WSN,ARI,W 3-1,9.0,5,1,1,0,14,1,0,126,94,0,0,32,32,0,1,0,0,0,0,0,0,0,0,0,0,1.00,0.616,4.122,1.250,3,22901,144
61,2018-05-10,LAA,MIN,W 7-4,9.0,8,4,4,3,9,2,0,159,102,0,0,35,32,1,0,0,0,0,0,3,0,0,0,0,1,4.00,0.025,0.561,.849,5,30127,188
62,2018-05-10,ARI,WSN,L 1-2,11.0,9,2,2,1,6,0,0,159,108,4,2,42,40,3,0,0,0,1,0,1,0,0,0,1,0,1.64,0.389,4.261,1.596,7,17397,222
63,2018-05-10,ATL,MIA,W 9-2,9.0,5,2,1,4,7,1,1,143,92,0,0,37,32,0,0,0,0,1,0,0,0,0,0,0,0,1.00,0.147,2.318,.733,3,8277,180
64,2018-05-10,BAL,KCR,W 11-6,9.0,10,6,5,5,5,1,1,162,107,1,0,40,34,2,0,0,0,1,0,3,1,0,0,1,2,5.00,-0.245,-1.339,.801,4,17842,177
65,2018-05-10,BOS,NYY,W 5-4,9.0,5,4,4,7,11,0,0,157,88,3,3,39,32,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0.246,0.944,1.830,5,46899,201
66,2018-05-10,CIN,LAD,W 4-1,9.0,4,1,0,4,7,0,1,161,99,0,0,36,31,0,0,0,0,1,0,1,0,0,0,0,0,0.00,0.388,3.510,1.136,4,47383,179
67,2018-05-10,COL,MIL,L 2-5,9.0,12,5,5,5,6,1,0,151,91,2,0,42,35,2,0,0,1,0,1,1,0,1,0,0,0,5.00,-0.121,0.352,.910,5,31093,180
68,2018-05-10,MIA,ATL,L 2-9,9.0,16,9,9,5,6,2,0,185,123,2,2,47,42,2,0,2,0,0,0,0,1,1,1,0,0,9.00,-0.353,-4.681,.825,5,8277,180
69,2018-05-10,KCR,BAL,L 6-11,8.0,14,11,11,3,6,3,0,141,95,0,0,40,37,4,0,0,0,0,0,1,0,0,0,0,0,12.38,-0.746,-6.856,.594,3,17842,177
70,2018-05-10,LAD,CIN,L 1-4,9.0,9,4,4,0,9,1,0,139,100,0,0,37,36,2,1,0,0,1,0,0,0,0,0,0,0,4.00,-0.112,0.510,.872,4,47383,179
71,2018-05-10,MIL,COL,W 5-2,9.0,5,2,2,4,11,1,0,125,79,3,0,34,30,0,1,0,0,0,0,1,0,0,0,0,0,2.00,0.380,3.352,1.000,5,31093,180
72,2018-05-10,MIN,LAA,L 4-7,8.0,12,7,7,2,2,3,0,125,82,1,1,37,32,4,0,0,2,0,1,3,0,0,0,0,1,7.88,-0.475,-2.946,.719,4,30127,188
73,2018-05-10,NYY,BOS,L 4-5,9.0,10,5,5,1,11,2,0,145,101,0,0,38,37,2,0,0,0,0,0,0,1,0,0,0,0,5.00,-0.255,-0.056,.688,4,46899,201
74,2018-05-10,PHI,SFG,W 6-3,9.0,5,3,3,1,15,2,0,135,92,0,0,33,32,1,0,0,0,0,0,0,0,0,0,0,0,3.00,0.133,1.461,.724,4,30204,167
75,2018-05-10,SDP,STL,L 1-2,9.0,8,2,1,1,11,1,1,139,90,0,0,34,32,0,0,0,0,0,1,1,1,1,0,0,1,1.00,0.161,2.368,.797,4,20515,159
76,2018-05-10,SEA,TOR,W 9-3,9.0,8,3,3,2,10,1,0,137,101,5,1,34,32,2,0,0,0,0,0,3,0,0,0,0,0,3.00,0.100,1.994,.527,5,22315,178
77,2018-05-10,SFG,PHI,L 3-6,8.0,11,6,6,3,9,1,0,151,97,2,1,37,34,1,1,0,0,0,0,1,0,0,0,0,0,6.75,-0.367,-2.036,.843,5,30204,167
78,2018-05-10,STL,SDP,W 2-1,9.0,5,1,1,2,5,1,0,134,86,0,0,32,30,0,0,0,0,0,0,1,1,0,0,0,0,1.00,0.662,3.368,1.375,4,20515,159
79,2018-05-10,TOR,SEA,L 3-9,9.0,17,9,9,5,9,4,0,194,123,2,0,47,41,2,0,0,0,0,1,2,1,0,0,0,0,9.00,-0.401,-4.005,.438,4,22315,178
80,2018-05-10,WSN,ARI,W 2-1,11.0,8,1,1,2,9,0,0,167,106,1,0,43,40,1,0,0,1,0,0,0,2,1,0,0,0,0.82,0.889,5.261,1.654,5,17397,222
81,2018-05-09,LAA,COL,W 8-0,9.0,8,0,0,2,14,0,0,150,101,1,0,38,34,3,0,0,2,0,0,0,0,0,0,0,0,0.00,0.332,5.352,.754,4,33689,190
82,2018-05-09,ARI,LAD,L 3-6,8.0,8,6,6,6,10,0,0,175,98,5,2,38,30,1,0,0,1,0,1,0,1,0,0,0,2,6.75,-0.221,-1.991,1.556,5,45600,228
83,2018-05-09,ATL,TBR,W 5-2,9.0,8,2,2,1,12,0,0,161,108,3,2,37,36,2,0,0,0,0,0,0,0,0,0,0,0,2.00,0.257,2.471,.738,5,12082,171
84,2018-05-09,BAL,KCR,W 5-3,9.0,8,3,3,3,5,1,0,155,100,0,0,37,34,2,0,1,0,0,0,2,2,0,0,0,0,3.00,0.229,1.661,1.673,3,14375,165
85,2018-05-09,BOS,NYY,L 6-9,8.0,12,9,9,4,6,1,0,148,84,3,2,40,33,4,1,0,1,0,2,1,1,0,0,0,0,10.12,-0.777,-4.605,1.364,5,47088,222
86,2018-05-09,CHC,MIA,W 13-4,9.0,8,4,4,4,7,2,0,160,96,1,0,38,34,0,1,0,0,0,0,0,0,1,0,0,0,4.00,0.166,0.742,.371,3,34486,193
87,2018-05-09,CHW,PIT,L 5-6,9.0,7,6,6,2,9,3,0,127,83,0,0,36,34,1,0,0,0,0,0,0,0,0,0,0,0,6.00,-0.438,-1.338,1.009,3,12476,166
